word,decade_start,frequency,semantic_change,polysemy
saurais,1810s,117,0.9486230469133144,0.7718558723104186
démarche,1810s,187,1.0483221771846956,0.7778769034776061
battre,1810s,129,0.8999556138053151,0.7967999745397669
rentrer,1810s,203,0.915537038640903,0.7966063072225326
sourire,1810s,125,1.0036312847290012,0.765058641850744
sévérité,1810s,113,1.0429062491386798,0.7984443271085878
message,1810s,128,0.9985297082222016,0.7927154250163339
amitié,1810s,640,1.0207104974990937,0.7136602755732315
cours,1810s,210,0.9943533931905892,0.7986912646866432
sommeil,1810s,209,1.0001345398524664,0.770877469065513
infidèle,1810s,111,1.028322001932449,0.7876233824705958
manquer,1810s,164,0.950832189912642,0.782547906759937
fis,1810s,169,0.9431834009209524,0.8047102096049683
venger,1810s,233,1.013494250777273,0.775358539475562
aime,1810s,529,1.016791127002273,0.7418092737884056
sensible,1810s,343,1.0958482128889857,0.7739297640143316
ambition,1810s,138,0.9307302458125438,0.7979402169595271
conquête,1810s,162,0.948064548786198,0.8097254693039735
pût,1810s,387,1.0627138488197498,0.7448307987938741
naissance,1810s,226,1.030625687123984,0.8027485604459029
changer,1810s,143,1.000951950824224,0.800265913761082
compagnon,1810s,115,1.141831834729097,0.7941819845566724
abandonné,1810s,146,0.926309727847106,0.795662757894648
long,1810s,1129,1.0157678710663032,0.7479117406257411
douleurs,1810s,127,1.019009760659819,0.7744621752414241
lois,1810s,256,0.9404729617950311,0.7782353669053246
travaux,1810s,133,0.9676558674681572,0.8024619667611137
expression,1810s,139,1.0491502720494552,0.7858955947168781
occupée,1810s,133,0.9556149552249924,0.8095096640661511
éloge,1810s,174,1.0215732912605358,0.7980518930863022
conversation,1810s,425,0.9816310942541578,0.8012060479727877
sentit,1810s,181,1.0738416258395225,0.8098899098694607
gagner,1810s,219,0.9435293207859444,0.7641811856987086
attachement,1810s,277,0.9922608143192138,0.75753740513991
maladie,1810s,192,0.9947395193122484,0.7999921885371011
paix,1810s,322,1.0282603321534078,0.8190514541406471
tenez,1810s,171,1.0926840408873764,0.8053933066019854
caverne,1810s,182,0.9941011729125128,0.7728781319500763
aurai,1810s,184,0.9899981983137882,0.7513248535298742
bout,1810s,262,1.0301509625679888,0.7463395607398022
condamné,1810s,171,0.975125255537411,0.7700181720949272
prétendu,1810s,102,0.9570563425607926,0.7855829711153517
entier,1810s,117,1.0453637647217913,0.8092770055685093
devait,1810s,1175,0.990019600317125,0.742280893634307
affaires,1810s,227,0.9929266645265492,0.7969457646829949
séparer,1810s,185,0.9741104989185788,0.7886824580008213
sauveur,1810s,128,0.9459008587179968,0.8020002075595878
supplice,1810s,135,1.0361764670317315,0.7979235626484307
vérité,1810s,772,1.0585567064790389,0.7803395687778132
image,1810s,109,0.9596403464232026,0.7797722737927754
village,1810s,344,0.9265538908060262,0.7766295156953411
face,1810s,216,1.0453776050889096,0.7682081484662375
douce,1810s,326,0.9593327194556808,0.8194542902928141
entièrement,1810s,337,1.003779638655431,0.8089913338419373
partit,1810s,283,0.979459362620832,0.7615359839655815
triompher,1810s,141,1.051991436542074,0.7890822544468314
demande,1810s,445,0.9665908697507772,0.7685442604588559
pouvais,1810s,242,1.058002016226503,0.7503395605448289
accident,1810s,109,1.0821438522179792,0.7920406933434567
tirer,1810s,143,0.942016168196326,0.8064843731922894
veille,1810s,247,1.0231042323370856,0.79524383128315
répéter,1810s,163,0.905154015217576,0.7969456627037047
égard,1810s,287,1.0449875129445036,0.7885694067390991
entrer,1810s,587,1.0684854264453412,0.7562636195207194
palais,1810s,389,1.0171183494764724,0.7676832690615936
bonheur,1810s,1432,1.0162529128714155,0.7502750007756094
moyen,1810s,673,0.994309435443316,0.7773535775283114
éloigné,1810s,160,0.9337701840007946,0.7747809795644404
dessein,1810s,238,1.0317777239923882,0.8014772686466829
loi,1810s,270,0.9576469067954556,0.7804362888334303
dame,1810s,260,0.9946201394015312,0.7873508012834028
promesse,1810s,218,0.9311364362730208,0.7847246229579922
maisons,1810s,131,0.9722220343771202,0.8092045876575469
concierge,1810s,278,1.0239652686594098,0.79983584166925
sortant,1810s,142,0.8715187710645755,0.8145688184889963
pleurs,1810s,227,0.9887913349086814,0.7797661742634789
abri,1810s,170,0.9919232694689484,0.7845984017643342
santé,1810s,289,1.0004254137087976,0.7804066063214307
entend,1810s,104,0.9126947347809884,0.7738106995023666
prétend,1810s,109,0.9327539079468524,0.8080289777014682
employer,1810s,113,1.028285947442853,0.772710052220208
satisfait,1810s,120,1.004748953514041,0.801564311956788
promptement,1810s,256,0.9884789202145794,0.8041663528099543
part,1810s,685,0.9816095281115894,0.7330850502190985
fidèles,1810s,111,1.040921563480986,0.8081965886998036
quelquefois,1810s,329,1.0100898127309363,0.7839279650992292
pont,1810s,123,1.0322594629236623,0.8045504416144382
genoux,1810s,233,0.9844813044392204,0.758708803516048
vainement,1810s,214,0.9990558040980092,0.8006923566510225
adresser,1810s,146,0.9703963094551185,0.7765584419617874
vraiment,1810s,210,0.9603985155845164,0.7661103567013992
prisons,1810s,148,0.984776501764022,0.7665749294979278
vœux,1810s,199,0.9408722924407256,0.7663641101598839
plaisir,1810s,1033,1.0507838137458891,0.7540522119004578
enlever,1810s,133,1.0113579708112646,0.7904412929721208
confiance,1810s,646,1.0219184115175737,0.7526808058608145
faites,1810s,352,1.109540590181068,0.800068424163076
siècle,1810s,229,1.0257797552115946,0.8160448940976137
destinée,1810s,204,0.9999978213116408,0.7962151386838705
c,1810s,5860,0.9078521225810672,0.7218301020425139
ici,1810s,1166,1.0068228497083975,0.7408381037184804
écouter,1810s,108,0.9518216748103536,0.7773815967551095
vivacité,1810s,107,0.9587108906012998,0.7822581897511087
anglais,1810s,226,0.9718146129455706,0.8078760374120628
fort,1810s,1081,0.9165253216594428,0.6963557027489597
courut,1810s,169,1.1336102761223152,0.78526413566399
père,1810s,2981,1.0524967774054792,0.7100002275378795
vieille,1810s,181,1.0750075430316504,0.7707040196139536
parla,1810s,201,0.90129391044905,0.8021166312587201
lire,1810s,237,0.9748629218866096,0.8036880319768616
vertueux,1810s,257,1.027557677389598,0.7272245945766976
offrir,1810s,284,0.9793153877132192,0.7759280690814709
croyez,1810s,239,1.0149354191515416,0.7981760793218053
état,1810s,802,0.9117787246209476,0.7498792288435369
donna,1810s,643,0.9655590596107376,0.7982922113865265
émotion,1810s,284,0.958698700886314,0.7799038578632318
venait,1810s,1319,0.9900079491687388,0.7867752645474001
malheurs,1810s,361,1.0042242966109731,0.7746989688972787
leva,1810s,217,0.955632668216306,0.7862777591316996
prononcer,1810s,162,0.9132527679257352,0.7531472368790959
chercha,1810s,183,1.04984310573107,0.7810019332114375
départ,1810s,559,1.0118485567063953,0.7628169937392213
tort,1810s,246,1.06521780404891,0.7901017095097912
connaissait,1810s,256,1.03271131390018,0.8018530139483204
repos,1810s,352,0.9264317646292228,0.7565547039619205
mari,1810s,528,1.0112522395209682,0.762751102956902
injustice,1810s,150,1.0067440273664907,0.792483998337166
mériter,1810s,114,0.8730049984858226,0.7848817931397651
situation,1810s,308,0.9434319957163112,0.7642519482420772
débris,1810s,181,1.0300598074290035,0.768493870050744
écriture,1810s,113,1.0160971797999907,0.7939067808373218
célèbre,1810s,135,0.9210546302280924,0.7962578360619419
mois,1810s,910,0.98334742649646,0.6428708676484376
conserver,1810s,155,0.9602050839529112,0.8183384519556982
alla,1810s,368,1.0393009127065995,0.7722545280079378
reposer,1810s,121,0.9736527527691528,0.7875893050013139
sûr,1810s,199,1.0099204750628827,0.7780638383564354
discrétion,1810s,110,0.9696023100780928,0.79094599914292
malheureux,1810s,980,0.9952060173329496,0.7123513961095279
parvint,1810s,111,1.0051172473562844,0.8098576564029925
entendre,1810s,751,1.025822898414739,0.794186776920532
contraint,1810s,190,1.044349455374883,0.7779103625416351
instances,1810s,117,0.98102211411761,0.7845402105236927
opinion,1810s,302,1.0194558732422965,0.7628084018672497
livrer,1810s,175,1.0585412627897146,0.8031716922757303
voyage,1810s,785,0.998584199003284,0.779614038345821
terres,1810s,106,0.9988417705607112,0.786290979405319
pourra,1810s,193,0.9746821707832004,0.7929766650212928
trouvai,1810s,133,1.006300506349315,0.7843691175135958
turc,1810s,177,0.9345290926518,0.829664754410515
soupir,1810s,122,1.0324365917207623,0.783256855122977
trouvaient,1810s,116,0.947728669120568,0.7843945227968319
parvenu,1810s,110,1.027512791630838,0.80571857322967
monarque,1810s,764,0.9254251506936372,0.790553494556069
saints,1810s,122,1.005630929488796,0.8058188111329192
mit,1810s,507,1.1080663616050186,0.77409447060191
répondu,1810s,128,0.9915839694073012,0.7547067187495504
resta,1810s,160,1.0027659966674436,0.7984981451169899
considération,1810s,118,0.9981532512445592,0.7856844840272872
inutile,1810s,176,0.9510621931771096,0.8083830366883502
favorable,1810s,216,1.0894804999550818,0.806492358736404
davantage,1810s,304,0.9266300196758804,0.7923693924861872
forme,1810s,245,1.0599525610626288,0.7883830102610051
arrêta,1810s,158,0.9739946617281928,0.7991069317325548
voiture,1810s,481,0.91988637237968,0.7433841758441305
haute,1810s,202,0.9591060362099688,0.7901210139720884
doucement,1810s,134,1.016264970930592,0.7874073080385369
parut,1810s,594,1.177387356176334,0.7919858436464027
osé,1810s,183,1.0357612090067432,0.7670295401661735
cru,1810s,204,1.0113721342853812,0.783893052131919
