word,semantic_change,frequency,polysemy
résistant,1.088753367092505,147.5,0.6390129733562291
irréfléchi,1.0886115538838288,133.0,0.6265575718298164
accentués,1.0886031626827748,208.0,0.6183314631263418
môle,1.0885496158419274,130.5,0.6525564749386299
furtifs,1.0885396708629267,172.66666666666666,0.6720307934549687
grey,1.0882387183778546,240.0,0.4181277524373441
favorisait,1.0881252038498743,161.5,0.7363334353870147
aline,1.088018592954897,716.0,0.7279575516388326
abandonnais,1.0879993530109793,100.0,0.5695901532148733
notez,1.087907406837736,210.25,0.7136368576461806
différend,1.0878326943252838,111.0,0.7367725485348381
défilèrent,1.0877638052942495,116.0,0.7311872660078917
payons,1.0876867876654073,106.0,0.6176067403505886
armurier,1.0875268514527805,213.0,0.6833342281172698
réalisées,1.0873077558400863,115.0,0.65899224404532
brouillés,1.0872896060907409,154.5,0.6702245615105413
superposées,1.087115550651053,170.0,0.7171748469372679
envolaient,1.087076814490373,204.0,0.6831754325242256
envolées,1.086957634290746,138.0,0.7267825873818445
demandions,1.0868307321261683,106.0,0.6974339961385854
saucisses,1.0868269626023364,127.5,0.4866834382781743
noisy,1.0868164735348391,202.0,0.492013574383864
roubles,1.0867239503262058,427.5,0.40779310460371854
risler,1.0866345167324598,1168.0,0.6298616155147214
entrerons,1.086632777535434,110.0,0.6607208667378182
défilait,1.0863657722746924,103.0,0.6480880849606324
régné,1.0863267732024713,152.0,0.6914083965828927
emballer,1.086216976047146,124.0,0.7342674400933006
ferté,1.0862143246446967,178.0,0.6804627359755194
diamètre,1.0858676637755469,272.0,0.3850705538447861
fromages,1.0858169343310016,180.0,0.6393722814964836
assombri,1.085667195258081,241.66666666666666,0.6828587331656157
désenchantement,1.0855292604548608,104.0,0.7179022976549372
complainte,1.085434442747007,192.0,0.4046746092542767
plantureux,1.0853750090851433,141.0,0.6551157163797032
it,1.085188741286926,200.0,0.2882973831917982
ballons,1.0851090705437598,187.0,0.7527620463110352
hoquet,1.0851062125779851,116.0,0.6428084056584199
doter,1.085083693450426,157.0,0.7069502207585376
railleurs,1.085078032779536,146.0,0.6633724231369162
desroches,1.084957163690766,400.0,0.5333506218503614
bruire,1.0849479296823843,134.0,0.6729053334870224
équitation,1.0847860269240046,117.5,0.6882314734220698
évanouissait,1.0847221635766275,154.5,0.7205503341402826
confluent,1.0846924456299862,129.0,0.5626202171700097
pompon,1.0845909755932084,103.0,0.7463866466564042
contusions,1.0844878133183975,102.0,0.6762684592122243
directoire,1.0844151086805152,251.5,0.6354142165885273
tramway,1.084354735672174,185.0,0.6328049555623203
amanda,1.0842804942617752,300.0,0.5788147333612773
burgos,1.0842742402440462,197.5,0.5766659737747025
